lex,sp,gloss,voc_lex
BR====/,subs,open field,בַּר
<RWD/,subs,wild ass,עָרֹוד
JRWQ/,subs,green plants,יָרֹוק
RNNJM/,subs,she-ostriches,רְנָנִים
MR>[,verb,toss,מרא
R<MH/,subs,horse mane,רַעְמָה
NXR/,subs,snorting,נַחַר
RNH[,verb,rattle,רנה
>BR[,verb,soar up,אבר
<L<[,verb,<uncertain>,עלע
JSWR/,subs,reprover,יִסֹּור
HDK[,verb,tread down,הדך
BHMWT/,subs,hippopotamus,בְּהֵמֹות
CRJR/,subs,sinew,שָׁרִיר
XPY=[,verb,bend down,חפץ
PXD=/,subs,thigh,פַּחַד
FRG[,verb,intertwine,שׂרג
MVJL/,subs,rod,מָטִיל
Y>LJM/,subs,lotus,צֶאֱלִים
XBR==/,subs,partner,חַבָּר
FKH/,subs,harpoon,שֻׂכָּה
YLYL=/,subs,harpoon,צִלְצָל
XJN/,subs,<uncertain>,חִין
<VJCH/,subs,sneezing,עֲטִישָׁה
KJDWD/,subs,spark,כִּידֹוד
NXJRJM/,subs,nostrils,נְחִירַיִם
DWY[,verb,leap,דוץ
D>BH/,subs,despair,דְּאָבָה
CRJH/,subs,arrow-head,שִׁרְיָה
RQBWN/,subs,rottenness,רִקָּבֹון
TWTX/,subs,club,תֹּותָח
XDWDJM/,subs,points,חַדּוּדִים
MCL==/,subs,likeness,מֹשֶׁל
CB<NH/,subs,twice seven,שִׁבְעָנָה
JMJMH/,nmpr,Jemimah,יְמִימָה
QYJ<H=/,nmpr,Keziah,קְצִיעָה
QRN_HPWK/,nmpr,Keren-Happuch,קֶרֶן הַפּוּךְ
LWJH/,subs,wreath,לִוְיָה
GRGRT/,subs,throat,גַּרְגְּרֹת
PTJ=/,subs,simplicity,פֶּתִי
CWX[,verb,run down,שׁוח
RP>WT/,subs,healing,רִפְאוּת
LKD/,subs,capture,לֶכֶד
<QCWT/,subs,crookedness,עִקְּשׁוּת
LZWT/,subs,crookedness,לָזוּת
PLS=[,verb,watch,פלס
J<LH/,subs,goat,יַעֲלָה
NMLH/,subs,ant,נְמָלָה
<YL/,adjv,sluggish,עָצֵל
XBQ/,subs,folding,חִבֻּק
RJC/,subs,poverty,רֵישׁ
MDJN/,subs,contention,מִדְיָן
MD<=/,subs,kinsman,מֹדָע
CWQ=/,subs,street,שׁוּק
MRBDJM/,subs,coverlets,מַרְבַדִּים
RBD[,verb,prepare,רבד
XVB=[,verb,be coloured,חטב
>VWN/,subs,linen,אֵטוּן
XLQ===/,subs,smoothness,חֵלֶק
MPTX=/,subs,opening,מִפְתָּח
G>H=/,subs,arrogance,גֵּאָה
<TQ=/,adjv,hereditary,עָתֵק
GP=/,subs,back?,גַּף
KSJLWT/,subs,insolence,כְּסִילוּת
PTJWT/,subs,<uncertain>,פְּתַיּוּת
<MQ===/,subs,depth,עֹמֶק
XRWY====/,adjv,assiduous,חָרוּץ
<YBT/,subs,pain,עַצֶּבֶת
YNW</,adjv,humble,צָנוּעַ
SLP/,subs,crookedness,סֶלֶף
TWQ<JM/,subs,handshakes,תֹּוקְעִים
MDQRH/,subs,stab,מַדְקֵרָה
XRK[,verb,start?,חרך
MWTR/,subs,advantage,מֹותָר
RZWN=/,subs,<official>,רָזֹון
MRP>=/,subs,calmness,מַרְפֵּא
NK>=/,adjv,smitten,נָכֵא
MFKH/,subs,hedge,מְשֻׂכָה
M<RK/,subs,arrangement,מַעֲרָךְ
M<NH===/,subs,purpose,מַעֲנֶה
KCLWN/,subs,stumbling,כִּשָּׁלֹון
MTQ=/,adjv,sweet,מָתֵק
>KP[,verb,press hard,אכף
YRB/,adjv,burning,צָרָב
<YH[,verb,blink,עצה
MYRP/,subs,melting pot,מַצְרֵף
GL<[,verb,burst out,גלע
GHH/,subs,healing,גֵּהָה
MMR/,subs,bitterness,מֶמֶר
MHLMWT/,subs,strokes,מַהֲלֻמֹות
LHM[,verb,swallow,להם
MXLH===/,subs,disease,מַחֲלֶה
NHM/,subs,groaning,נַהַם
DLP/,subs,roof,דֶּלֶף
VRD[,verb,drive away,טרד
<YLH/,subs,sluggishness,עַצְלָה
<RB=======/,adjv,pleasant,עָרֵב
XYY/,subs,pebble,חָצָץ
>CWN/,subs,approach,אֱשׁוּן
TMRWQ/,subs,massage,תַּמְרוּק
HPKPK/,adjv,crooked,הֲפַכְפַּךְ
WZR/,adjv,guilty,וָזָר
KPH[,verb,subdue,כפה
QCV=/,subs,truth,קֹשְׁטְ
XCK=/,adjv,dark,חָשֹׁךְ
FKJN/,subs,knife,שַׂכִּין
L</,subs,throat,לֹעַ
C<R[,verb,estimate,שׁער
NWMH/,subs,somnolence,נוּמָה
XTP/,subs,robber,חֶתֶף
>BWJ/,subs,desire,אֲבֹוי
XKLLWT/,subs,dullness,חַכְלִלוּת
XBL=====/,subs,<uncertain>,חִבֵּל
MVH=====/,subs,coming,מָטֶה
QMFWN/,subs,weed,קִמָּשֹׂון
XSD=[,verb,insult,חסד
>PN/,subs,right time,אֹפֶן
XLJ=/,subs,ornament,חֲלִי
YNH==/,subs,cold,צִנָּה
MPJY/,subs,<uncertain>,מֵפִיץ
MRGMH/,subs,heap of stones,מַרְגֵּמָה
Q>/,subs,vomit,קֵא
YJR=/,subs,pivot,צִיר
LHH[,verb,be crazy,להה
ZQ/,subs,fire-arrow,זֵק
MC>WN/,subs,deceiving,מַשָּׁאֹון
MDXH/,subs,overthrow,מִדְחֶה
NVL/,subs,load,נֵטֶל
>KZRJWT/,subs,cruelty,אַכְזְרִיּוּת
NCJQH/,subs,kiss,נְשִׁיקָה
SGRJR/,subs,heavy rain,סַגְרִיר
>BDH=/,subs,destruction,אֲבַדֹּה
MHLL/,subs,fame,מַהֲלָל
KTC[,verb,pound,כתשׁ
<LJ=/,subs,pestle,עֱלִי
CXWT/,subs,pit,שְׁחוּת
PNQ[,verb,pamper,פנק
MNWN/,subs,<uncertain>,מָנֹון
>GWR/,nmpr,Agur,אָגוּר
JQH/,nmpr,Jakeh,יָקֶה
>JTJ>L/,nmpr,Ithiel,אִיתִיאֵל
>KL=/,subs,<uncertain>,אֻכָל
<LWQH/,subs,leech,עֲלוּקָה
FMMJT/,subs,gecko,שְׂמָמִית
ZRZJR/,subs,<uncertain>,זַרְזִיר
>LQWM/,subs,<uncertain>,אַלְקוּם
MJY/,subs,squeezing,מִיץ
LMW>L/,nmpr,Lemuel,לְמוּאֵל
XLWP/,subs,<uncertain>,חֲלֹוף
KJCWR/,subs,whorl,כִּישֹׁור
<YLWT/,subs,sluggishness,עַצְלוּת
>LJMLK/,nmpr,Elimelech,אֱלִימֶלֶךְ
N<MJ=/,nmpr,Naomi,נָעֳמִי
MXLWN/,nmpr,Mahlon,מַחְלֹון
KLJWN=/,nmpr,Kilion,כִּלְיֹון
<RPH/,nmpr,Orpah,עָרְפָּה
RWT/,nmpr,Ruth,רוּת
LHN,advb,therefore,לָהֵן
<GN[,verb,withdraw,עגן
YBV[,verb,hold out,צבט
CLL=[,verb,draw out,שׁלל
YBT/,subs,bundle,צֶבֶת
MD<T/,subs,kinsman,מֹדַעַת
MRGLT/,subs,feet-place,מַרְגְּלֹת
<WBD/,nmpr,Obed,עֹובֵד
FLMH=/,nmpr,Salmon,שַׂלְמָה
FLMWN/,nmpr,Salmon,שַׂלְמֹון
CXRXR/,adjv,blackish,שְׁחַרְחֹר
NXR[,verb,snort,נחר
NVR[,verb,keep,נטר
GDJH=/,subs,young goat,גְּדִיָּה
SWSH/,subs,mare,סוּסָה
R<JH/,subs,girl friend,רַעְיָה
TWR=/,subs,turn,תֹּור
XRWZJM/,subs,string of shells,חֲרוּזִים
NQDH/,subs,glass-bead,נְקֻדָּה
NRD/,subs,nard,נֵרְדְּ
KPR====/,subs,henna,כֹּפֶר
RHJV/,subs,rafter,רָהִיט
BRWT=/,subs,juniper,בְּרֹות
YB>H/,subs,she-gazelle,צְבָאָה
<PR=/,subs,gazelle,עֹפֶר
KTL/,subs,wall,כֹּתֶל
YWY=[,verb,glance,צוץ
XRKJM/,subs,lattice,חֲרַכִּים
STW/,subs,winter,סְתָו
NYN/,subs,blossom,נִצָּן
ZMJR=/,subs,pruning,זָמִיר
PG/,subs,unripe fig,פַּג
SMDR/,subs,perule,סְמָדַר
PWX=[,verb,breath,פוח
BTR=/,subs,<uncertain>,בֶּתֶר
>BQH/,subs,scent-powder,אֲבָקָה
>XZ/,adjv,holding,אָחֻז
>PRJWN/,subs,litter,אַפִּרְיֹון
RPJDH/,subs,saddle-cloth,רְפִידָה
RYP[,verb,fit,רצף
XTNH/,subs,marriage,חֲתֻנָּה
GLC[,verb,go down,גלשׁ
RXYH/,subs,washing,רַחְצָה
T>M[,verb,bear twins,תאם
MDBR=/,subs,speaking,מִדְבָּר
TLPJWT/,subs,stone courses,תַּלְפִּיֹּות
YBJH/,subs,she-gazelle,צְבִיָּה
YWRNJM/,subs,necklace,צַוְּרֹנִים
CLXJM/,subs,channel,שְׁלָחִים
PRDS/,subs,park,פַּרְדֵּס
KRKWM/,subs,curcuma,כַּרְכֹּום
QWYWT/,subs,hairlocks,קְוֻצֹּות
RSJS/,subs,drop,רָסִיס
>JKKH,inrg,how,אֵיכָכָה
VNP[,verb,soil,טנף
MN<WL/,subs,lock,מַנְעוּל
TLTL/,subs,date-panicle,תַּלְתָּל
ML>T/,subs,<uncertain>,מִלֵּאת
MRQX/,subs,herb,מֶרְקָח
<CT/,subs,plate,עֶשֶׁת
CC==/,subs,alabaster,שֵׁשׁ
MMTQJM/,subs,sweetness,מַמְתַקִּים
>GWZ/,subs,nut,אֱגֹוז
CWLMJ/,adjv,Shulammite,שׁוּלַמִּי
XMWQ/,subs,turning,חַמּוּק
>MN==/,subs,artisan,אָמָּן
SHR=/,subs,enclosure,סַהַר
MZG/,subs,mixed wine,מֶזֶג
SWG=[,verb,fence,סוג
BT_RBJM/,nmpr,Bath Rabbim,בַּת רַבִּים
SNSNH/,subs,date-fruit,סַנְסִנָּה
DBB[,verb,flow,דבב
RQX===/,subs,spice,רֶקַח
RPQ[,verb,lean,רפק
CLHBTJH/,subs,big flame,שַׁלְהֶבֶתְיָה
B<L_HMWN/,nmpr,Baal Hamon,בַּעַל הָמֹון
QHLT/,subs,speaker,קֹהֶלֶת
JTRWN/,subs,profit,יִתְרֹון
KBR/,subs,long time,כְּבָר
<NJN/,subs,occupation,עִנְיָן
<NH===[,verb,be worried,ענה
R<WT=/,subs,longing,רְעוּת
TQN[,verb,be straight,תקן
XSRWN/,subs,want,חֶסְרֹון
HWLLH/,subs,madness,הֹולֵלָה
FKLWT/,subs,folly,שִׂכְלוּת
R<JWN/,subs,striving,רַעְיֹון
SKLWT/,subs,folly,סִכְלוּת
CDH/,subs,lady,שִׁדָּה
KCRWN/,subs,advantage,כִּשְׁרֹון
XWC=[,verb,feel,חושׁ
ZMN/,subs,season,זְמָן
<DNH,advb,hitherto,עֲדֶנָה
<DN,advb,hitherto,עֲדֶן
>J=,inrg,how,אִי
MSKN/,adjv,poor,מִסְכֵּן
R>WT/,subs,look,רְאוּת
>LW,conj,if,אִלּוּ
TQJP/,adjv,mighty,תַּקִּיף
XCBWN/,subs,account,חֶשְׁבֹּון
XCBWN=/,subs,invention,חִשָּׁבֹון
PCR/,subs,interpretation,פֵּשֶׁר
CLVWN/,subs,mastery,שִׁלְטֹון
PTGM/,subs,decision,פִּתְגָם
<BD=/,subs,work,עֲבָד
MRWY/,subs,running,מֵרֹוץ
SKL=/,subs,folly,סֶכֶל
GWMY/,subs,pit,גּוּמָּץ
KCR[,verb,succeed,כשׁר
HWLLWT/,subs,madness,הֹולֵלוּת
CTJ=/,subs,drinking,שְׁתִי
<YLTJM/,subs,great sluggishness,עֲצַלְתַּיִם
MQRH=/,subs,beam-work,מְקָרֶה
CPLWT/,subs,inactivity,שִׁפְלוּת
DLP=[,verb,drip,דלף
MD</,subs,knowledge,מַדָּע
BXWRWT/,subs,youth,בְּחוּרֹות
CXRWT/,subs,black hair,שַׁחֲרוּת
BVL[,verb,cease working,בטל
VXNWT/,subs,molar teeth,טֹחֲנֹות
VXNH/,subs,grinding mill,טַחֲנָה
XTXTJM/,subs,terror,חַתְחַתִּים
>BJWNH/,subs,caper-fruit,אֲבִיֹּונָה
>ZN=[,verb,ponder,אזן
DRBN=/,subs,<uncertain>,דָּרְבֹן
>SPH=/,subs,collection,אֲסֻפָּה
LHG/,subs,devotion,לַהַג
JG<H/,subs,wearying,יְגִעָה
MXMD=/,subs,something precious,מַחְמֹד
MCBT/,subs,ruin,מִשְׁבָּת
FQD[,verb,<uncertain>,שׂקד
<WB[,verb,becloud,עוב
FK=/,subs,<uncertain>,שֹׂךְ
MDWXJM/,subs,enticement,מַדּוּחִים
PWGH/,subs,benumbing,פּוּגָה
VPXJM/,subs,healthy ones,טִפֻּחִים
VPX=[,verb,bring forth,טפח
FTM[,verb,stop,שׂתם
PCX[,verb,lie fallow,פשׁח
KPC[,verb,cower,כפשׁ
JXJL/,subs,<uncertain>,יָחִיל
SXJ/,subs,refuse,סְחִי
C>T/,subs,desolation,שֵׁאת
HPGH/,subs,stop,הֲפֻגָה
<WTH/,subs,oppression,עַוָּתָה
QJMH/,subs,rising up,קִימָה
MNGJNH/,subs,mocking song,מַנְגִּינָה
MGNH/,subs,insolence,מָגִנָּה
T>LH/,subs,curse,תַּאְלָה
<MM=[,verb,be dark,עמם
CN>[,verb,shine,שׁנא
J<N=/,subs,<uncertain>,יָעֵן
YXH[,verb,be white,צחה
CXWR/,subs,blackness,שְׁחֹור
YPD[,verb,shrivel,צפד
RXMNJ/,adjv,compassionate,רַחֲמָנִי
NWY[,verb,depart,נוץ
YPJH/,subs,outlook,צִפִּיָּה
VXWN/,subs,hand-mill,טְחֹון
>XCWRWC/,nmpr,Ahasuerus,אֲחַשְׁוֵרֹושׁ
HDW/,nmpr,India,הֹדּוּ
CWCN=/,nmpr,Susa,שׁוּשַׁן
BJRH/,subs,citadel,בִּירָה
PRTMJM/,subs,nobles,פַּרְתְּמִים
BJTN/,subs,palace,בִּיתָן
XWR/,subs,linen,חוּר
KRPS/,subs,linen,כַּרְפַּס
BHV/,subs,<uncertain>,בַּהַט
DR/,subs,pavement,דַּר
SXRT/,subs,pavement,סֹחֶרֶת
CTJH/,subs,drinking,שְׁתִיָּה
>NS[,verb,compel,אנס
WCTJ/,nmpr,Vashti,וַשְׁתִּי
MHWMN/,nmpr,Mehuman,מְהוּמָן
BZT>/,nmpr,Biztha,בִּזְּתָא
XRBWN>/,nmpr,Harbona,חַרְבֹונָא
BGT>/,nmpr,Bigtha,בִּגְתָא
>BGT>/,nmpr,Abagtha,אֲבַגְתָא
ZTR/,nmpr,Zethar,זֵתַר
KRKS/,nmpr,Carcas,כַּרְכַּס
KTR/,subs,headdress,כֶּתֶר
KRCN>/,nmpr,Carshena,כַּרְשְׁנָא
CTR/,nmpr,Shethar,שֵׁתָר
>DMT>/,nmpr,Admatha,אַדְמָתָא
TRCJC==/,nmpr,Tarshish,תַּרְשִׁישׁ
MRS/,nmpr,Meres,מֶרֶס
MRSN>/,nmpr,Marsena,מַרְסְנָא
MMWKN/,nmpr,Memucan,מְמוּכָן
M>MR/,subs,word,מַאֲמָר
BZJWN/,subs,contempt,בִּזָּיֹון
HGJ/,nmpr,Hegai,הֵגַי
MRDKJ/,nmpr,Mordecai,מָרְדְּכַי
HDSH/,nmpr,Hadassah,הֲדַסָּה
>STR/,nmpr,Esther,אֶסְתֵּר
MRWQJM/,subs,massage,מְרוּקִים
C<CGZ/,nmpr,Shaashgaz,שַׁעֲשְׁגַז
VBT=/,nmpr,Tebeth,טֵבֵת
HNXH/,subs,release,הֲנָחָה
>MNH=/,subs,care,אָמְנָה
BGTN/,nmpr,Bigthana,בִּגְתָן
TRC/,nmpr,Teresh,תֶּרֶשׁ
HMN=/,nmpr,Haman,הָמָן
HMDT>/,nmpr,Hammedatha,הַמְּדָתָא
>GGJ/,adjv,Agagite,אֲגָגִי
NJSN/,nmpr,Nissan,נִיסָן
PWR/,subs,lot,פּוּר
>DR=/,nmpr,Adar,אֲדָר
>XCDRPN/,subs,satrap,אֲחַשְׁדַּרְפָּן
PTCGN/,subs,copy,פַּתְשֶׁגֶן
DXP[,verb,hurry,דחף
HTK/,nmpr,Hathach,הֲתָךְ
PRCH/,subs,statement,פָּרָשָׁה
JCV[,verb,hold,ישׁט
CRBJV/,subs,staff,שַׁרְבִיט
HYLH/,subs,deliverance,הַצָּלָה
BQCH/,subs,request,בַּקָּשָׁה
ZRC/,nmpr,Zeresh,זֶרֶשׁ
NZQ/,subs,damage,נֵזֶק
XRBWNH/,nmpr,Harbona,חַרְבֹונָה
>BDN=/,subs,destruction,אָבְדָן
SJWN/,nmpr,Siwan,סִיוָן
>XCTRN/,adjv,royal,אֲחַשְׁתְּרָן
RMKH/,subs,mare,רַמָּכָה
TKRJK/,subs,robe,תַּכְרִיךְ
JHD[,verb,be a Jew,יהד
>BDN/,subs,destruction,אַבְדָן
PRCNDT>/,nmpr,Parshandatha,פַּרְשַׁנְדָּתָא
DLPWN/,nmpr,Dalphon,דַּלְפֹון
>SPT>/,nmpr,Aspatha,אַסְפָּתָא
PWRT>/,nmpr,Poratha,פֹּורָתָא
>DLJ>/,nmpr,Adalia,אֲדַלְיָא
>RJDT>/,nmpr,Aridatha,אֲרִידָתָא
PRMCT>/,nmpr,Parmashta,פַּרְמַשְׁתָּא
>RJSJ/,nmpr,Arisai,אֲרִיסַי
>RDJ=/,nmpr,Aridai,אֲרִדַי
WJZT>/,nmpr,Vaizatha,וַיְזָתָא
BZH/,subs,spoil,בִּזָּה
>GRT/,subs,letter,אִגֶּרֶת
TQP/,subs,power,תֹּקֶף
>CPNZ/,nmpr,Ashpenaz,אַשְׁפְּנַז
PTBG/,subs,table,פַּתְבַּג
BLVC>YR/,nmpr,Belteshazzar,בֵּלְטְשַׁאצַּר
CDRK/,nmpr,Shadrach,שַׁדְרַךְ
MJCK/,nmpr,Meshach,מֵישַׁךְ
<BD_NGW/,nmpr,Abednego,עֲבֵד נְגֹו
GJL=/,subs,age,גִּיל
XWB[,verb,be guilty,חוב
MLYR/,subs,guardian,מֶלְצַר
ZR<JM/,subs,herbs,זֵרֹעִים
ZR<NJM/,subs,herbs,זֵרְעֹנִים
>CP/,subs,conjurer,אַשָּׁף
MLK/,subs,king,מֶלֶךְ
<LM/,subs,eternity,עָלַם
XJH[,verb,live,חיה
XLM/,subs,dream,חֵלֶם
<BD/,subs,servant,עֲבֵד
PCR/,subs,interpretation,פְּשַׁר
XWH[,verb,know,חוה
<NH[,verb,answer,ענה
KFDJ/,adjv,Chaldaean,כַּשְׂדָּי
MLH/,subs,word,מִלָּה
>ZD>,advb,publicly known,אַזְדָּא
HN,conj,if,הֵן
JD<[,verb,know,ידע
HDM/,subs,limb,הַדָּם
BJT/,subs,house,בַּיִת
NWLW/,subs,dunghill,נְוָלוּ
FJM[,verb,place,שׂים
MTNH/,subs,gift,מַתְּנָה
NBZBH/,subs,present,נְבִזְבָּה
JQR/,subs,dignity,יְקָר
FGJ>/,adjv,much,שַׂגִּיא
QBL[,verb,receive,קבל
QDM/,subs,before,קֳדָם
LHN,advb,therefore,לָהֵן
TNJNWT,advb,again,תִּנְיָנוּת
JYJB/,adjv,reliable,יַצִּיב
>NH,prps,I,אֲנָה
<DN/,subs,time,עִדָּן
>NTWN,prps,you,אַנְתּוּן
ZBN[,verb,buy,זבן
QBL/,subs,opposite,קֳבֵל
XZH[,verb,see,חזה
XD/,subs,one,חַד
HJ>,prps,she,הִיא
DT/,subs,law,דָּת
KDBH/,subs,lie,כִּדְבָה
CXT[,verb,spoil,שׁחת
ZMN[,verb,arrange,זמן
<D,prep,until,עַד
CNH[,verb,be different,שׁנה
>JTJ/,subs,existence,אִיתַי
>NC/,subs,mankind,אֱנָשׁ
<L,prep,upon,עַל
JBCH/,subs,land,יַבְּשָׁה
JKL[,verb,be able,יכל
RB/,adjv,great,רַב
CLJV/,adjv,mighty,שַׁלִּיט
C>L[,verb,ask,שׁאל
XRVM/,subs,magician,חַרְטֹּם
>CP/,subs,enchanter,אָשַׁף
JQJR/,adjv,difficult,יַקִּיר
>XRN/,adjv,another,אָחֳרָן
LHN=,conj,but,לָהֵן
MDWR/,subs,dwelling,מְדֹור
<M,prep,with,עִם
BFR/,subs,flesh,בְּשַׂר
BNS[,verb,become angry,בנס
QYP[,verb,get angry,קצף
XKJM/,adjv,wise,חַכִּים
BBL/,nmpr,Babylon,בָּבֶל
NPQ[,verb,go out,נפק
QVL[,verb,kill,קטל
B<H[,verb,seek,בעה
DNJ>L/,nmpr,Daniel,דָּנִיֵּאל
XBR/,subs,colleague,חֲבַר
B,prep,in,בְּ
>DJN,advb,then,אֱדַיִן
TWB[,verb,return,תוב
<VH/,subs,advice,עֵטָה
V<M/,subs,sense,טְעֵם
>RJWK/,nmpr,Arioch,אַרְיֹוךְ
RB=/,subs,chief,רַב
VBX/,subs,executioner,טַבַּח
MH,prin,what,מָה
XYP[,verb,be bare,חצף
<LL[,verb,enter,עלל
ZMN/,subs,time,זְמָן
NTN[,verb,give,נתן
>ZL[,verb,go,אזל
XNNJH/,nmpr,Hananiah,חֲנַנְיָה
MJC>L/,nmpr,Mishael,מִישָׁאֵל
<ZRJH/,nmpr,Azariah,עֲזַרְיָה
RXMJN/,subs,mercy,רַחֲמִין
RZ/,subs,secret,רָז
C>R/,subs,rest,שְׁאָר
XZW/,subs,vision,חֱזוּ
LJLJ/,subs,night,לֵילֵי
GLH[,verb,reveal,גלה
BRK[,verb,bless,ברך
HWH[,verb,be,הוה
CM/,subs,name,שֻׁם
XKMH/,subs,wisdom,חָכְמָה
GBWRH/,subs,power,גְּבוּרָה
HW>,prps,he,הוּא
<DH[,verb,go,עדה
QWM[,verb,stand,קום
JHB[,verb,give,יהב
MND</,subs,knowledge,מַנְדַּע
BJNH/,subs,discernment,בִּינָה
<MJQ/,adjv,deep,עַמִּיק
STR[,verb,hide,סתר
XCWK/,subs,darkness,חֲשֹׁוךְ
NHWR/,subs,light,נְהֹור
CRH[,verb,loosen,שׁרה
>B/,subs,father,אַב
JDH[,verb,praise,ידה
CBX[,verb,praise,שׁבח
K<N,advb,now,כְּעַן
MNH[,verb,count,מנה
KN,advb,thus,כֵּן
>L,nega,not,אַל
BHL[,verb,disturb,בהל
CKX[,verb,find,שׁכח
GBR/,subs,man,גְּבַר
BR/,subs,son,בַּר
GLW/,subs,exile,גָּלוּ
JHWD/,nmpr,Judaea,יְהוּד
BLVC>YR/,nmpr,Belteshazzar,בֵּלְטְשַׁאצַּר
H,inrg,<interrogative>,הֲ
KHL[,verb,be able,כהל
GZR[,verb,cut,גזר
BRM,advb,but,בְּרַם
NBWKDNYR/,nmpr,Nebuchadnezzar,נְבוּכַדְנֶצַּר
>XRJ=/,subs,end,אַחֲרִי
JWM/,subs,day,יֹום
R>C/,subs,head,רֵאשׁ
MCKB/,subs,bed,מִשְׁכַּב
>NTH,prps,you,אַנְתָּה
R<JWN/,subs,thought,רַעְיֹון
SLQ[,verb,go up,סלק
>XR/,subs,after,אַחַר
XJ/,adjv,living,חַי
DBRH/,subs,matter,דִּבְרָה
LBB/,subs,heart,לְבַב
>LW,intj,behold,אֲלוּ
YLM/,subs,statue,צְלֵם
DKN,prde,that,דִּכֵּן
ZJW/,subs,brightness,זִיו
JTJR/,adjv,excessive,יַתִּיר
RW/,subs,appearance,רֵו
DXL[,verb,fear,דחל
DHB/,subs,gold,דְּהַב
VB/,adjv,good,טָב
XDH/,subs,breast,חֲדֵה
DR</,subs,arm,דְּרָע
KSP/,subs,silver,כְּסַף
M<H/,subs,belly,מְעֵה
JRKH/,subs,thigh,יַרְכָה
NXC/,subs,copper,נְחָשׁ
CQ/,subs,leg,שָׁק
PRZL/,subs,iron,פַּרְזֶל
RGL/,subs,foot,רְגַל
XSP/,subs,clay,חֲסַף
>BN/,subs,stone,אֶבֶן
JD/,subs,hand,יַד
MX>[,verb,hit,מחא
DQQ[,verb,crush,דקק
HMWN,prps,they,הִמֹּון
DWQ[,verb,pulverise,דוק
<WR/,subs,chaff,עוּר
>DR=/,subs,threshing-floor,אִדַּר
QJV/,subs,summer,קַיִט
NF>[,verb,take,נשׂא
RWX/,subs,wind,רוּחַ
>TR/,subs,place,אֲתַר
VWR/,subs,mountain,טוּר
ML>[,verb,fill,מלא
MLKW/,subs,kingdom,מַלְכוּ
XSN/,subs,power,חֱסֵן
TQP/,subs,strength,תְּקֹף
DWR[,verb,dwell,דור
XJWH/,subs,animal,חֵיוָה
BR=/,subs,field,בַּר
<WP/,subs,bird,עֹוף
CLV[,verb,rule,שׁלט
B>TR/,subs,after,בָּאתַר
>XRJ/,adjv,another,אָחֳרִי
TLJTJ/,adjv,third,תְּלִיתָי
RBJ<J/,adjv,fourth,רְבִיעָי
TQJP/,adjv,strong,תַּקִּיף
XCL[,verb,hammer,חשׁל
R<<[,verb,break,רעע
>LJN,prde,these,אִלֵּין
>YB</,subs,finger,אֶצְבַּע
PXR/,subs,potter,פֶּחָר
PLG[,verb,divide,פלג
NYBH/,subs,planting,נִצְבָּה
<RB[,verb,mix,ערב
VJN/,subs,clay,טִין
QYT/,subs,end,קְצָת
TBR[,verb,break,תבר
ZR</,subs,seed,זְרַע
DBQ[,verb,adhere,דבק
H>=,intj,<idiomatic prefix>,הֵא
>NWN,prps,they,אִנּוּן
XBL[,verb,be harmful,חבל
<M/,subs,people,עַם
CBQ[,verb,leave,שׁבק
SWP[,verb,end,סוף
>MN[,verb,be steady,אמן
NPL[,verb,fall,נפל
>NP/,subs,face,אֲנַף
SGD[,verb,bow,סגד
MNXH/,subs,offering,מִנְחָה
NJXWX/,subs,incense,נִיחֹוחַ
NSK[,verb,poor out,נסך
QCV/,subs,truth,קְשֹׁט
MR>/,subs,lord,מָרֵא
RBH[,verb,grow,רבה
MDJNH/,subs,province,מְדִינָה
SGN/,subs,prefect,סְגַן
<BJDH/,subs,work,עֲבִידַה
CDRK/,nmpr,Shadrach,שַׁדְרַךְ
MJCK/,nmpr,Meshach,מֵישַׁךְ
<BD_NGW/,nmpr,Abed-Nego,עֲבֵד נְגֹו
TR</,subs,door,תְּרַע
RWM/,subs,height,רוּם
>MH/,subs,cubit,אַמָּה
CTJN/,subs,sixty,שִׁתִּין
PTJ/,subs,breadth,פְּתָי
CT/,subs,six,שֵׁת
BQ<H/,subs,plain,בִּקְעָה
DWR>/,nmpr,Dura,דּוּרָא
CLX[,verb,send,שׁלח
KNC[,verb,assemble,כנשׁ
>XCDRPN/,subs,satrap,אֲחַשְׁדַּרְפַּן
PXH/,subs,governor,פֶּחָה
>DRGZR/,subs,counselor,אֲדַרְגָּזַר
GDBR/,subs,treasurer,גְּדָבַר
DTBR/,subs,law official,דְּתָבַר
TPTJ/,subs,police officer,תִּפְתָּי
CLVN=/,subs,dominion,שִׁלְטֹן
>TH[,verb,come,אתה
XNKH/,subs,inauguration,חֲנֻכָּה
KRWZ/,subs,herald,כָּרֹוז
QR>[,verb,call,קרא
XJL/,subs,strength,חַיִל
>MH=/,subs,nation,אֻמָּה
LCN/,subs,tongue,לִשָּׁן
CM<[,verb,hear,שׁמע
QL/,subs,voice,קָל
QRN/,subs,horn,קֶרֶן
MCRWQJ/,subs,pipe,מַשְׁרֹוקִי
QTRS/,subs,zither,קַתְרֹס
FBK>/,subs,sambuca,שַׂבְּכָא
PSNTRJN/,subs,psaltery,פְּסַנְתֵּרִין
SWMPNJH/,subs,symphony,סוּמְפֹּנְיָה
ZN/,subs,sort,זַן
ZMR/,subs,music for strings,זְמָר
MN=,prin,who,מַן
C<H/,subs,hour,שָׁעָה
RMH[,verb,throw,רמה
GW>/,subs,interior,גֹּוא
